Elutriation				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YAR061W	YAR061W	unknown	unknown; similar to N-terminus of Flo1p	
YAR062W	YAR062W	unknown	"unknown; similar to the N-terminus of Flo1p, identical to Yhr213p"	
YAR064W	YAR064W	unknown	unknown	
YAR068W	YAR068W	unknown	unknown; similar to ICWP protein	
YAR069C	YAR069C	unknown	unknown	
YAR070C	YAR070C	unknown	unknown	
YAR071W	PHO11	phosphate metabolism	secreted acid phosphatase	G2/M
YAR073W	YAR073W	unknown	"unknown; similar to Pur5p, may be an  inosine-5'-monophosphate dehydrogenase"	
YBL001C	ECM15	cell wall biogenesis	unknown	
YBL002W	HTB2	chromatin structure	histone H2B	S
YBL003C	HTA2	chromatin structure	histone H2A	S
YBL004W	YBL004W	unknown	unknown; major facilitator superfamily	
YBL005W	PDR3	transport	transcription factor	
YBL005W-A	YBL005W-A	unknown	unknown	
YBL005W-B	YBL005W-B	unknown	unknown	
YBL006C	YBL006C	unknown	unknown	
YBL007C	SLA1	cytoskeleton	cortical actin assembly	
YBL008W	HIR1	transcription	histone transcription inhibitor	
YBL009W	YBL009W	unknown	unknown	G1
YBL010C	YBL010C	unknown	unknown	
YBL011W	SCT1	unknown	suppresses a choline-transport mutant	
YBL012C	YBL012C	unknown	unknown	
YBL013W	YBL013W	unknown	"unknown; similar to met-tRNA formyltransferase,"	
YBL014C	RRN6	transcription	component of rDNA transcription factor complex	
YBL015W	ACH1	acetyl-CoA metabolism	acetyl-CoA hydrolase	
YBL016W	FUS3	mating (cell cycle arrest)	protein kinase	
YBL017C	PEP1	vacuolar protein targeting	CPY sorting receptor	
YBL018C	POP8	tRNA processing	RNase P and RNase MRP subunit	
YBL019W	APN2	DNA repair	exonuclease III homolog (AP endonuclease)	
YBL020W	RFT1	cell cycle	unknown	
YBL021C	HAP3	transcription	component of heterotrimeric CCAAT-binding factor	
YBL022C	PIM1	respiration	mitochondrial ATP-dependent protease	
YBL023C	MCM2	DNA replication	MCM initiator complex	G2/M
YBL024W	NCL1	unknown	unknown; similar to human proliferating cell nucleolar antigen	
YBL025W	RRN10	transcription	component of upstream activation factor complex (UAF)	
YBL026W	LSM2	mRNA splicing	core snRNP protein	
YBL027W	RPL19B	protein synthesis	ribosomal protein L19B	
YBL028C	YBL028C	unknown	unknown	
YBL029W	YBL029W	unknown	unknown	
YBL030C	PET9	transport	mitochondrial ADP/ATP translocator	G2/M
YBL031W	SHE1	unknown	overexpression is lethal	
YBL032W	YBL032W	unknown	unknown	
YBL033C	RIB1	flavin biosynthesis	GTP cyclohydrolase II	
YBL034C	STU1	mitosis	spindle component	
YBL035C	POL12	DNA replication	"DNA polymerase alpha, 70 kD subunit"	G1
YBL036C	YBL036C	unknown	unknown; similar to Pseudomonas aeroginosa twitching motility protein	
YBL037W	APL3	secretion	clathrin associated	
YBL038W	MRPL16	protein synthesis	"ribosomal protein, mitochondrial L16"	
YBL039C	URA7	pyrimidine biosynthesis	CTP synthase 1	
YBL040C	ERD2	ER protein retention	HDEL receptor	
YBL041W	PRE7	protein degradation	20S proteasome subunit	
YBL042C	FUI1	transport	uridine permease	
YBL043W	ECM13	cell wall biogenesis	unknown	
YBL044W	YBL044W	unknown	unknown	
YBL045C	COR1	oxidative phosphorylation	ubiquinol cytochrome-c reductase	
YBL046W	YBL046W	unknown	unknown	
YBL047C	YBL047C	unknown	"unknown; similar to Uso1p, Pan1p, and mouse eps15"	
YBL048W	YBL048W	unknown	unknown	
YBL049W	YBL049W	unknown	unknown	
YBL050W	SEC17	secretion	SNAP; vesicle fusion	
YBL051C	YBL051C	unknown	"unknown; similar to RNA-binding proteins, contains 1 RRM domain"	
YBL052C	SAS3	silencing	unknown	S/G2
YBL053W	YBL053W	unknown	unknown	
YBL054W	YBL054W	unknown	unknown	
YBL055C	YBL055C	unknown	unknown	
YBL056W	PTC3	osmotic stress response (putative)	protein phosphatase	
YBL057C	YBL057C	unknown	unknown	
YBL058W	SHP1	glucose repression	(putative) Glc7p regulatory subunit	
YBL059W	YBL059W	unknown	unknown	
YBL060W	YBL060W	unknown	unknown	
YBL061C	SKT5	cell wall biogenesis	chitin synthase regulator	M/G1
YBL062W	YBL062W	unknown	unknown	
YBL063W	KIP1	"mitosis, spindle assembly"	kinesin related protein	S
YBL064C	YBL064C	unknown	unknown; similar to Tsa1p	M/G1
YBL065W	YBL065W	unknown	unknown	
YBL066C	SEF1	transcription	(putative) transcription factor	
YBL067C	UBP13	"protein degradation, ubiquitin-mediated"	ubiquitin carboxyl-terminal hydrolase	
YBL068W	PRS4	pentose phosphate cycle	ribose-phosphate pyrophosphokinase	
YBL069W	AST1	plasma membrane protein targeting	targets plasma membrane ATPase	
YBL070C	YBL070C	unknown	unknown	
YBL071C	YBL071C	unknown	unknown	
YBL072C	RPS8A	protein synthesis	ribosomal protein S8	
YBL073W	YBL073W	unknown	unknown	
YBL074C	AAR2	"mRNA splicing, MATa1"	unknown	
YBL075C	SSA3	ER and mitochondrial translocation	cytosolic HSP70	
YBL076C	ILS1	protein synthesis	"tRNA synthetase, isoleucyl"	
YBL077W	YBL077W	unknown	unknown	
YBL078C	AUT7	autophagy	microtubule-associated protein (putative)	
YBL079W	NUP170	nuclear protein targeting	nuclear pore protein
YBL080C	PET112	protein synthesis	translation of COX2 mRNA (mitochondrial)
YBL081W	YBL081W	unknown	37% identity to Drosophila l not protein
YBL082C	RHK1	protein glycosylation	"Dol-P-Man dependent alpha-1,3- mannosyltransferase (putative)"
YBL083C	YBL083C	unknown	unknown
YBL084C	CDC27	cell cycle	anaphase-promoting complex subunit
YBL085W	BOI1	bud growth	binds Bem1p
YBL086C	YBL086C	unknown	unknown
YBL087C	RPL23A	protein synthesis	ribosomal protein L23A
YBL088C	TEL1	telomere length regulation	putative phosphatidylinositol kinase
YBL089W	YBL089W	unknown	major facilitator superfamily
YBL090W	MRP21	protein synthesis	"ribosomal protein, mitochondrial"
YBL091C	MAP2	protein processing	methionine aminopeptidase 2
YBL092W	RPL32	protein synthesis	ribosomal protein L23
YBL093C	ROX3	transcription	RNA polymerase mediator subunit
YBL094C	YBL094C	unknown	unknown; similar to Neurospora crassa chitin synthase
YBL095W	YBL095W	unknown	unknown	
YBL096C	YBL096C	unknown	unknown	
YBL097W	BRN1	chromosome maintenance	unknown; homolog of human BRRN1	
YBL098W	YBL098W	unknown	unknown; similar to bacterial NADP/NAD-dependent	G2/M
YBL099W	ATP1	ATP synthesis	mitochondrial F1F0-ATPase subunit	
YBL100C	YBL100C	unknown	unknown	G2/M
YBL101C	ECM21	cell wall biogenesis	unknown	
YBL101W-A	YBL101W-A	unknown	unknown	
YBL101W-B	YBL101W-B	unknown	unknown	
YBL102W	SFT2	unknown	suppresses sed5 ts mutants	
YBL103C	RTG3	glyoxylate cycle	CIT2 regulator	
YBL104C	YBL104C	unknown	morphology (putative)	
YBL105C	PKC1	cell wall biogenesis	protein kinase C	
YBL106C	SRO77	secretion (putative)	unknown; homolog of Drosophila tumor suppressor l(2)gl	
YBL107C	YBL107C	unknown	unknown	
YBL108W	YBL108W	unknown	unknown	
YBL109W	YBL109W	unknown	unknown	
YBL111C	YBL111C	unknown	unknown	G1
YBL112C	YBL112C	unknown	unknown	G1
YBL113C	YBL113C	unknown	unknown	G1
YBR001C	NTH2	trehalose metabolism	"alpha,alpha-trehalase"	
YBR002C	RER2	protein glycosylation	cis-prenytransferase	
YBR003W	COQ1	ubiquinone biosynthesis	exaprenyl pyrophosphate synthetase	
YBR004C	YBR004C	unknown	expressed during sporulation	
YBR005W	YBR005W	unknown	unknown	
YBR006W	YBR006W	unknown	unknown; similar to aldehyde dehydrogenase	
YBR007C	YBR007C	unknown	unknown	G1
YBR008C	FLR1	fluconazole resistance	"transporter, major facilitator superfamily"	S
YBR009C	HHF1	chromatin structure	histone H4	S
YBR010W	HHT1	chromatin structure	histone H3	S
YBR011C	IPP1	phosphate metabolism	"inorganic pyrophosphatase, cytoplasmic"	
YBR012C	YBR012C	unknown	unknown	
YBR012W-A	YBR012W-A	unknown	unknown
YBR012W-B	YBR012W-B	unknown	unknown
YBR013C	YBR013C	unknown	unknown
YBR014C	YBR014C	unknown	unknown; similar to glutaredoxin
YBR015C	MNN2	protein glycosylation	"Golgi alpha-1,2-mannosyltransferase (putative)"
YBR016W	YBR016W	unknown	unknown
YBR017C	KAP104	nuclear protein targeting	beta-karyopherin
YBR018C	GAL7	galactose metabolism	gal-1-phosphate uridyl transferase
YBR019C	GAL10	galactose metabolism	UDP-glucose 4-epimerase
YBR020W	GAL1	galactose metabolism	galactokinase
YBR022W	YBR022W	unknown	unknown
YBR024W	SCO2	respiration	Cox1p and Cox2p stability (putative)
YBR025C	YBR025C	unknown	unknown
YBR026C	MRF1'	mitochondrial respiration	ARS-binding protein
YBR027C	YBR027C	unknown	unknown
YBR028C	YBR028C	unknown	unknown; similar to Ypk2p/Ykr2p and Ypk1p
YBR029C	CDS1	lipid metabolism	CDP-diacylglycerol synthase	
YBR030W	YBR030W	unknown	unknown; similar to Sin3p	
YBR031W	RPL4A	protein synthesis	ribosomal protein L4A	
YBR032W	YBR032W	unknown	unknown	
YBR033W	YBR033W	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6] cluster domain"	
YBR034C	HMT1	protein processing	arginine methyltransferase	
YBR035C	PDX3	sterol uptake (putative)	pyridoxine (pyridoxamine) phosphate oxidase	
YBR036C	CSG2	sphingolipid metabolism	mannosylation	
YBR037C	SCO1	respiration	Cox1p and Cox2p stability (putative)	
YBR038W	CHS2	cell wall biogenesis	chitin synthase II	G2/M
YBR039W	ATP3	ATP synthesis	mitochondrial F1F0 ATP synthase subunit	
YBR040W	FIG1	mating	extracellular integral membrane protein	
YBR041W	FAT1	transport	long-chain fatty acid transporter	
YBR042C	YBR042C	unknown	unknown	
YBR043C	YBR043C	unknown	major facilitator superfamily	
YBR044C	TCM62	protein folding	"chaperone, mitochondrial (putative)"	
YBR045C	GIP1	glucose repression	(putative) Glc7p regulatory subunit	
YBR046C	ZTA1	unknown	putative quinone oxidoreductase	
YBR047W	YBR047W	unknown	unknown	
YBR048W	RPS11B	protein synthesis	ribosomal protein S11B	
YBR049C	REB1	transcription	transcription factor	
YBR050C	REG2	glucose repression	(putative) Glc7p regulatory subunit	
YBR051W	YBR051W	unknown	unknown	
YBR052C	YBR052C	unknown	"unknown; similar to Ycp4p, S. pombe obr1, and E. coli trp"	
YBR053C	YBR053C	unknown	unknown; similar to rat calcium-binding protein regucalcin	M/G1
YBR054W	YRO2	unknown	putative heat shock protein	G2/M
YBR055C	PRP6	mRNA splicing	U4/U6 snRNP protein	
YBR056W	YBR056W	unknown	"unknown; similar to glucan-1,3-beta-glucosidase"	
YBR057C	MUM2	meiosis	unknown; similar to ubiquitin C-terminal hydrolase	
YBR058C	UBP14	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YBR059C	AKL1	unknown	protein kinase	
YBR060C	ORC2	DNA replication	"origin recognition complex, 72 kD subunit"	
YBR061C	YBR061C	unknown	unknown; similar to Ctr86p and E. coli ftsJ	
YBR062C	YBR062C	unknown	unknown	
YBR063C	YBR063C	unknown	unknown; similar to phosphopanthethein-binding proteins	
YBR064W	YBR064W	unknown	unknown	
YBR065C	ECM2	cell wall biogenesis and mRNA splicing (putative)	unknown	
YBR066C	NRG2	unknown	unknown	
YBR067C	TIP1	stress response (putative)	cell wall mannoprotein	M/G1
YBR068C	BAP2	transport	branched-chain amino acid permease	
YBR069C	VAP1	transport	amino acid permease	G2/M
YBR070C	YBR070C	stress response	osmotolerance protein (putative)	G1
YBR071W	YBR071W	unknown	unknown; similar to Herpesvirus saimiri EERF2	G1
YBR072W	HSP26	diauxic shift	stress-induced protein	
YBR073W	RDH54	meiosis	helicase	G1
YBR074W	YBR074W	unknown	unknown; similar to Ape3p (aminopeptidase Y)	
YBR075W	YBR075W	unknown	unknown	
YBR076W	ECM8	cell wall biogenesis	unknown	
YBR077C	YBR077C	unknown	unknown	
YBR078W	ECM33	cell wall biogenesis	unknown	
YBR079C	RPG1	protein synthesis	translation initiation factor eIF3	
YBR080C	SEC18	secretion	NSF; vesicle fusion	
YBR081C	SPT7	chromatin structure	histone acetyltransferase complex subunit	
YBR082C	UBC4	"protein degradation, ubiquitin-mediated"	E2 ub.-conjugating enzyme	
YBR083W	TEC1	pseudohyphal growth	trancriptional activator	M/G1
YBR084C-A	RPL19A	protein synthesis	ribosomal protein L19A	
YBR084W	MIS1	folate metabolism	C1-tetrahydrofolate synthase	
YBR085W	AAC3	transport	mitochondrial ADP/ATP translocator	
YBR086C	IST2	salt tolerance (putative)	unknown; similar to calcium and sodium channel proteins	G2/M
YBR087W	RFC5	DNA replication	DNA polymerase processivity factor	G1
YBR088C	POL30	DNA replication	DNA polymerase processivity factor	G1
YBR089W	YBR089W	unknown	unknown	G1
YBR090C	YBR090C	unknown	unknown	
YBR091C	MRS5	mitochondrial protein targeting	inner membrane carrier protein	
YBR092C	PHO3	thiamine uptake	"acid phosphatase, constitutive"	G2/M
YBR093C	PHO5	phosphate metabolism	"acid phosphatase, repressible"	G2/M
YBR094W	YBR094W	unknown	unknown; similar to Mec1p and porcine tubulin-tyrosine	G2/M
YBR095C	YBR095C	unknown	unknown; similar to Drosophila cyclin B	
YBR096W	YBR096W	unknown	unknown	
YBR097W	VPS15	vacuolar protein targeting	ser/thr protein kinase	
YBR098W	MMS4	methylmethanesulfonate resistance	transcription activator (putative)	
YBR099C	YBR099C	unknown	unknown	
YBR100W	YBR100W	unknown	unknown	
YBR101C	YBR101C	unknown	unknown; similar to Ypt/Rab interacting protein	
YBR102C	EXO84	secretion	exocyst complex subunit	
YBR103W	YBR103W	unknown	unknown	
YBR104W	YMC2	transport	mitochondrial carrier family	
YBR105C	VID24	vacuolar protein targeting 	peripheral vesicle membrane protein	
YBR106W	PHO88	phosphate transport	regulator of Pho81	
YBR107C	MCM19	"mitosis, chromosome segregation (putative)"	unknown	
YBR108W	YBR108W	unknown	"unknown; similar to wheat glutenin, secalin"	G1
YBR109C	CMD1	signaling	calmodulin	
YBR110W	ALG1	protein glycosylation	"beta-1,4-mannosyltransferase"	
YBR111C	YSA1	unknown	unknown; similar to Drosophila serendipity protein	
YBR112C	CYC8	transcription	general repressor	
YBR113W	YBR113W	unknown	unknown	
YBR114W	RAD16	"DNA repair, nucleotide excision"	NEF4 component	
YBR115C	LYS2	lysine biosynthesis	L-aminoadipate-semialdehyde dehydrogenase	
YBR116C	YBR116C	unknown	unknown; similar to sea urchin NADH chain ND2	
YBR117C	TKL2	pentose phosphate cycle	transketolase	
YBR118W	TEF2	protein synthesis	translation elongation factor EF-1 alpha	
YBR119W	MUD1	mRNA splicing	U1 snRNP A protein	
YBR120C	CBP6	"protein synthesis, COB"	translation activator of COB mRNA	
YBR121C	GRS1	protein synthesis	"tRNA synthase, glycyl"	
YBR122C	MRPL36	protein synthesis	"ribosomal protein, mitochondrial L36"	
YBR123C	TFC1	transcription	TFIIIC 95 kD subunit	
YBR124W	YBR124W	unknown	unknown	
YBR125C	PTC4	unknown	protein phosphatase type 2C	
YBR126C	TPS1	trehalose metabolism	trehalose-6-phosphate synthas	
YBR127C	VMA2	vacuolar acidification	58 kD regulatory subunit	
YBR128C	APG14	autophagy	unknown; interacts with Apg6p/Vps30p	
YBR129C	OPY1	mating	unknown	
YBR130C	SHE3	cell polarity	asymmetric HO expression	
YBR131W	CCZ1	"calcium, caffeine, and zinc sensitivity"	unknown	
YBR132C	AGP2	transport	general amino acid permease	
YBR133C	HSL7	cell cycle	Swe1p (kinase) regulator	S/G2
YBR134W	YBR134W	unknown	unknown	
YBR135W	CKS1	cell cycle	portein kinase regulator	
YBR136W	ESR1	DNA repair and recombination	PI kinase homolog	
YBR137W	YBR137W	unknown	unknown	
YBR138C	HDR1	meiosis	unknown	G2/M
YBR139W	YBR139W	unknown	unknown; similar to serine-type carboxypeptidases	G2/M
YBR140C	IRA1	"signaling, Ras pathway"	GTPase-activating protein for Ras1p and Ras2p
YBR141C	YBR141C	unknown	unknown
YBR142W	MAK5	mRNA splicing	RNA helicase
YBR143C	SUP45	protein synthesis	translation release factor eRF1 subunit
YBR144C	YBR144C	unknown	unknown
YBR145W	ADH5	glycolysis	alcohol dehydrogenase V
YBR146W	MRPS9	protein synthesis	"ribosomal protein, mitochondrial S9"
YBR147W	YBR147W	unknown	unknown
YBR148W	YSW1	unknown	spore specific
YBR149W	ARA1	arabinose metabolism	arabinose dehydrogenase
YBR150C	TBS1	drug resistance (putative)	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"
YBR151W	APD1	cytoskeleton (putative)	unknown
YBR152W	SPP381	mRNA processing (putative)	"U4/U6,U5 snRNP protein"
YBR153W	RIB7	flavin biosynthesis	HTP reductase
YBR154C	RPB5	transcription	"shared subunit of RNA polymerases I, II, and III "
YBR155W	CNS1	unknown	unknown; similar to Sti1p; suppresses cyclophilin mutant
YBR156C	SLI15	"mitosis, chromosome segregation"	unknown	
YBR157C	ICS2	Cu2+ ion homeostasis (putative)	unknown	M/G1
YBR158W	ICS4	Cu2+ ion homeostasis (putative)	unknown; required for optimal growth	M/G1
YBR159W	YBR159W	unknown	unknown; similar to human estradiol	
YBR160W	CDC28	cell cycle	cyclin dependent protein kinase	
YBR161W	YBR161W	unknown	"unknown; similar to Sur1p, Hoc1p, and Och1p"	G1
YBR162C	YBR162C	unknown	unknown; similar to Aga1p	
YBR162W-A	YSY6	secretion (putative)	unknown	
YBR163W	DEM1	cell morphology (putative)	unknown; similar to Pta1p	
YBR164C	ARL1	secretion	ADP-ribosylation factor-like protein	
YBR165W	UBS1	"protein degradation, ubiquitin-mediated"	regulates Cdc34p (ubiquitin-conjugating enzyme)	
YBR166C	TYR1	tyrosine biosynthesis	prephenate dehydrogenase (NADP+	
YBR167C	POP7	rRNA and tRNA processing	RNase P and RNase MRP subunit	
YBR168W	YBR168W	unknown	unknown	
YBR169C	SSE2	heat shock response	HSP70 family	
YBR170C	NPL4	nuclear protein targeting	nuclear pore protein	
YBR171W	SEC66	secretion	ER protein translocation subcomplex subunit
YBR172C	SMY2	unknown	kinesin related
YBR173C	UMP1	"protein degradation, ubiquitin-mediated"	20S proteasome maturation factor
YBR174C	YBR174C	unknown	unknown
YBR175W	YBR175W	unknown	unknown
YBR176W	ECM31	cell wall biogenesis	unknown
YBR177C	EHT1	unknown	alcohol acyl transferase (putative)
YBR178W	YBR178W	unknown	unknown
YBR179C	FZO1	mitochondrial biogenesis	mitochondrial membrane GTPase
YBR180W	YBR180W	unknown	major facilitator superfamily
YBR181C	RPS6B	protein synthesis	ribosomal protein S6B
YBR182C	SMP1	cell wall organization	MADS box transcription factor
YBR183W	YPC1	sphingolipid metabolism	alkaline ceramidase
YBR184W	YBR184W	unknown	unknown
YBR185C	MBA1	respiration	mitochondrial respiratory complex assembly
YBR186W	PCH2	"meiosis, checkpoint"	unknown
YBR187W	YBR187W	unknown	unknown; similar to ND5 and PSB2 (SP:P03920 and SP:P20898)	
YBR188C	NTC20	mRNA splicing	Prp19p-associated complex protein 	
YBR189W	RPS9B	protein synthesis	ribosomal protein S9B	
YBR191W	RPL21A	protein synthesis	ribosomal protein L21A	
YBR193C	MED8	transcription	RNA polymerase II mediator subunit	
YBR194W	YBR194W	unknown	unknown	
YBR195C	MSI1	chromatin structure	chromatin assembly factor I subunit	
YBR196C	PGI1	glycolysis	glucose-6-phosphate isomerase	
YBR197C	YBR197C	unknown	unknown	
YBR198C	TAF90	transcription	TFIID 90 kD subunit	
YBR199W	KTR4	protein glycosylation	"putative alpha-1,2-mannosyltransferase"	
YBR200W	BEM1	bud emergence	binds Cdc24p	G2/M
YBR201W	DER1	"protein degradation, ER"	unknown	
YBR202W	CDC47	DNA replication	MCM initiator complex	G2/M
YBR203W	YBR203W	unknown	unknown	
YBR204C	YBR204C	unknown	unknown; similar to peroxisomal serine-active lipase	M/G1
YBR205W	KTR3	protein glycosylation	"putative alpha-1,2-mannosyltransferase"
YBR206W	YBR206W	unknown	unknown
YBR207W	FTH1	unknown	unknown; similar to Ftr1p
YBR208C	"DUR1,2"	"nitrogen, amino acid, nucleotide metabolism"	urea amidolyase
YBR209W	YBR209W	unknown	unknown
YBR210W	YBR210W	unknown	unknown
YBR211C	AME1	unknown	microtubule associated
YBR212W	NGR1	unknown	glucose-repressible RNA-binding protein
YBR213W	MET8	sulfate assimilation	siroheme synthase
YBR214W	SDS24	unknown	unknown; nuclear protein; similar to S. pombe sds23
YBR215W	HPC2	transcription	regulator of histone transcription
YBR216C	YBR216C	unknown	unknown
YBR217W	APG12	autophagy	unknown
YBR218C	PYC2	TCA cycle	pyruvate carboxylase 2
YBR219C	YBR219C	unknown	unknown
YBR220C	YBR220C	unknown	unknown; similar to E. coli ampG protein
YBR221C	PDB1	glycolysis	pyruvate dehydrogenase
YBR222C	FAT2	transport	peroxisomal (putative) fatty acid transporter
YBR223C	YBR223C	unknown	unknown
YBR224W	YBR224W	unknown	unknown
YBR225W	YBR225W	unknown	unknown
YBR226C	YBR226C	unknown	unknown
YBR227C	MCX1	protein folding	"chaperone, mitochondrial (putative)"
YBR228W	YBR228W	unknown	unknown
YBR229C	ROT2	cytoskeleton	glucosidase II
YBR230C	YBR230C	unknown	unknown
YBR231C	YBR231C	unknown	unknown
YBR232C	YBR232C	unknown	unknown
YBR233W	PBP2	unknown	interacts with Pab1p
YBR234C	ARC40	cytoskeleton	Arp2/3 complex subunit
YBR235W	YBR235W	unknown	unknown; similar to human SLC12A1 gene for which mutations
YBR236C	ABD1	mRNA capping	mRNA cap methyltransferase
YBR237W	PRP5	mRNA splicing	RNA helicase	
YBR238C	YBR238C	unknown	unknown	
YBR239C	YBR239C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YBR240C	THI2	thiamine biosynthesis	transcription factor	
YBR241C	YBR241C	unknown	unknown; similar to sugar permeases	
YBR242W	YBR242W	unknown	unknown	G2/M
YBR243C	ALG7	protein glycosylation	UDP-N-acetyl-glucosamine-1-P transferase (GPT)	S/G2
YBR244W	AMI1	mitochondrial morphology (putative)	unknown; similar to glutathione peroxidase	
YBR245C	ISW1	unknown	unknown; similar to Drosophila nucleosome remodeling	
YBR246W	YBR246W	unknown	unknown	
YBR247C	ENP1	protein glycosylation	putative oligosaccharyltransferase complex subunit	
YBR248C	HIS7	histidine biosynthesis	glutamine amidotransferase:cyclase	
