				y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72	21clb2	y80n8a	16cln3	y80n9bf
12	0.004	0.737	YDR070C	-6.5049	9.83766	-0.00203	-0.20095	-2.43918	-3.80415	-4.5768	0.14042	-1.70425	2.98636	0.50216	0.53394	-1.04714	-0.2118	-4.00654	1.69475	-0.36409	3.45427	-0.60194	2.34589	-3.20638	0.36642
13	0.004	0.333	YDR509W	-1.94741	1.63898	2.2032	1.54958	1.53548	-0.07505	-0.0513	-0.26636	-1.23483	-0.54757	-2.10312	-1.78895	-2.52738	-1.6709	-3.3863	-3.5277	0.12888	0.47581	0.6112	3.41557	-4.11191	1.26612
14	0.004	0.266	YER081W	-2.20297	2.89819	1.38512	1.42047	1.11231	0.70396	0.56518	0.15767	-0.40402	-1.30961	-2.02042	-1.86961	-1.60742	-1.77	-1.88012	-1.96528	-0.53598	-1.03399	0.91483	2.55563	0.8316	-2.56451
15	0.005	0.368	YDR160W	0.65053	0.90264	-0.82887	-0.93631	-1.63526	-3.17977	-1.31927	-1.47929	-0.96553	1.4298	-0.1177	1.36067	1.29638	0.58303	-1.56245	0.21965	0.63719	1.33815	-1.63724	2.76981	0.69846	-1.35628
16	0.005	0.128	YGL107C	0.38688	-0.14247	-1.24647	-1.04194	-1.91892	-0.74428	-1.35613	0.08134	1.30645	1.54879	2.81113	1.93078	1.4247	0.97465	1.85322	3.08584	-0.77488	0.18051	1.37145	-3.01383	1.3496	-0.54236
17	0.005	0.888	YPL180W	-2.72054	3.26302	1.3688	0.54629	-1.82357	-1.22629	-1.57145	0.20704	1.10005	1.86456	1.13681	0.30964	-2.66187	-3.26391	-3.91339	-0.93264	-2.13313	0.13484	-1.28086	1.46219	0.47253	-0.49836
18	0.005	0.924	YBR287W	-1.71953	3.20038	0.24333	-0.24073	-2.26755	-1.90657	-2.38066	-0.47269	0.68409	1.90791	2.22788	1.27278	-0.56868	-1.11777	-1.83644	0.45154	-1.38907	0.43505	1.35762	0.74338	0.27104	-1.86783
19	0.005	0.223	YMR252C	-1.14528	-0.12149	2.14664	1.6208	1.19097	1.5223	0.81796	0.44993	0.76112	-0.85148	-0.51793	-1.51065	-2.35333	-2.25357	-1.4937	-2.26488	-1.1301	-1.2556	2.12151	0.26013	-1.43203	0.11205
20	0.005	0.197	YNL073W	0.72137	-1.06145	1.49268	0.68805	-0.32713	0.10154	1.25215	-0.28586	0.9991	-0.06686	-0.8348	-0.46295	-2.2012	-3.45427	-3.14285	-3.05783	-1.29112	-1.39666	-3.71301	3.41936	2.89761	-1.30857
21	0.006	0.254	YEL025C	-0.82932	1.7043	-0.81699	-0.36201	-0.53981	-1.58829	-2.02155	-0.88614	-0.70143	0.45388	0.96595	0.63835	1.5416	1.83832	0.89924	1.57675	0.34591	0.66807	4.9923	-0.78308	-1.65648	-1.71058
22	0.007	0.123	YGL176C	-1.86248	0.21305	1.34243	0.22249	0.22353	0.19098	-1.08893	1.71212	-0.40275	2.60803	0.85815	0.59106	-1.69016	1.04093	-0.50571	1.03249	0.65949	3.96326	-3.94714	-1.49905	-7.32575	9.29006
23	0.008	0.33	YGR209C	0.12865	1.38778	-1.22	-0.9103	-1.23797	-2.31124	-1.96155	-1.22544	-0.91805	0.98917	0.84971	1.42452	1.7743	1.59225	0.19489	1.25224	0.52696	1.00765	2.01609	0.84266	-0.60558	-1.75852
24	0.008	0.24	YPR150W	-1.16138	0.02482	2.41373	1.75361	1.39934	1.32793	0.92575	0.24594	0.38939	-0.95381	-1.18127	-1.75658	-2.79896	-2.6739	-2.39056	-3.20685	-0.98872	-1.15559	1.05865	1.68622	-1.7154	0.28985
25	0.009	0.819	YJR126C	-1.20336	2.7202	-0.33752	-0.81285	-2.79045	-3.27024	-2.97234	-0.91595	0.08797	2.85197	2.06534	2.11131	0.2349	-0.20253	-2.01857	1.21515	-0.76479	1.65427	-0.33043	1.30451	-0.58724	-0.49162
26	0.01	0.76	YIL075C	-0.12457	0.61493	0.24113	-0.49539	-3.31555	-2.15529	-2.02127	-0.70593	2.22725	2.76728	3.27636	2.31352	-0.82355	-2.42476	-2.2275	0.56831	-2.52987	-0.3998	-0.09224	0.05074	2.53266	-2.02964
27	0.012	0.508	YJR106W	-0.76556	1.58567	-0.88426	-0.98448	-2.6575	-1.70866	-1.77322	0.17364	1.03985	2.39701	2.28951	2.03832	0.57916	-0.13824	-0.25622	2.75738	-1.10368	0.86485	-1.78759	-1.11744	1.90673	-0.20855
28	0.012	0.75	YGL201C	-0.11663	0.00765	0.52425	-0.4923	-3.04983	-2.03996	-2.79097	-0.71134	1.86804	2.94396	4.5187	2.54933	-0.50125	-1.17796	-1.29838	0.81013	-2.07129	0.37289	2.8503	-1.41775	-1.06959	-0.26744
29	0.012	0.605	YFR057W	-6.89698	10.3402	0.35917	0.42529	-1.38998	-0.5488	-2.13498	1.62686	-0.15816	1.18996	0.01053	-0.97822	-2.07992	-1.69086	-2.6485	1.17768	-1.21206	1.17735	-2.46704	0.02154	0.77508	-0.22625
30	0.013	0.733	YGL258W	-2.83733	4.71285	-0.27389	-0.45937	-1.83823	-2.87047	-3.14632	-0.48563	-0.98077	2.24186	1.04272	1.19351	0.1662	0.56142	-1.83893	1.36887	-0.08729	2.27177	0.28068	1.18496	-2.50397	0.44318
31	0.014	0.438	YKL114C	-0.68907	1.38054	-0.56113	-0.53765	-2.3563	-0.5456	-0.9178	0.2773	1.90539	1.28285	2.29074	1.26318	-0.21902	-1.6429	-0.4505	1.62731	-2.01933	-1.02209	-0.58091	-1.49328	4.40728	-2.60188
32	0.015	0.127	YCL048W	0.34018	0.35797	-0.84678	-0.97423	-0.90093	-1.89793	-1.4771	-0.5761	-1.01262	1.48191	0.53512	1.39807	1.30769	1.84257	0.21763	1.2546	1.06218	2.07917	-1.38159	0.76837	-2.87393	2.39768
33	0.017	0.905	YDR074W	-2.3518	2.96314	1.14023	0.21834	-1.82154	-0.91566	-1.79751	0.3497	1.11414	1.96575	2.19956	0.75057	-1.60148	-1.70872	-2.02454	0.13552	-1.59896	0.60288	-0.51102	-0.18077	-1.3214	1.26201
34	0.017	0.772	YLR345W	0.57538	0.27468	0.34938	-0.41989	-2.45443	-3.6829	-2.41873	-2.08848	0.30632	2.55562	1.70909	2.20119	0.01943	-1.03994	-2.94222	-0.75613	-0.97298	0.78335	0.8262	2.66511	-0.59778	-1.50179
35	0.017	0.364	YHR097C	-2.54943	5.78393	-1.93915	-1.40339	-1.83591	-2.52011	-2.51957	-0.05994	-1.55977	1.64494	0.24284	1.1727	1.50977	1.83553	-0.27182	2.68135	0.88837	2.42585	-2.88408	0.84802	0.10861	0.1141
36	0.018	0.16	YJR026W	-1.96562	0.98035	0.47048	-0.23164	-0.73496	0.80305	-0.70481	1.85492	1.21311	1.8319	2.13647	0.36235	-1.30227	-0.10635	0.35028	1.7116	-0.49411	1.64487	-2.29324	-4.58374	-4.35007	7.10999
37	0.018	0.764	YDR392W	-0.74948	0.65953	1.13076	0.11771	-1.45412	-1.3146	-1.30966	-0.19528	0.6654	1.97186	1.35366	1.01523	-1.33797	-1.45855	-2.28284	-0.55687	-1.04091	0.87993	-1.91023	1.41115	-1.70893	1.90865
38	0.018	0.547	YKL020C	0.53507	-0.75944	-0.16112	-1.33104	-4.021	-2.77627	-3.07758	-0.41109	2.16656	4.54452	5.06727	3.87619	0.06579	-0.4317	-0.83972	2.43317	-1.81113	1.7745	-1.42996	-1.94748	-1.07562	2.75174
39	0.018	0.061	YBR163W	1.32199	-0.36491	-1.48697	-1.35656	-1.4255	-2.15911	-1.49263	-1.03511	-0.65426	1.3482	1.10814	1.90375	2.00589	1.8726	0.70014	1.55313	0.78354	1.33244	-0.4032	0.52915	-0.43982	-0.02032
40	0.018	0.795	YKL150W	-2.72973	3.66314	1.91478	1.24678	-0.71114	-1.11453	-1.43663	-0.57299	0.1605	0.6152	0.09623	-0.37892	-2.1454	-2.68957	-3.64826	-2.01968	-1.66302	-0.44947	1.52609	3.16245	-0.50322	-2.32392
41	0.019	0.682	YKL209C	0.7255	-0.57399	0.16482	-0.68583	-2.7579	-2.41014	-2.72479	-1.26847	0.99746	2.47372	3.89968	2.65505	0.2941	-0.43129	-1.06109	0.53674	-1.39102	0.44903	2.63992	0.13953	-1.03085	-1.0488
42	0.021	0.732	YEL012W	-1.56705	3.32193	-0.26525	-0.24373	-1.92158	-3.15222	-3.07807	-1.64772	-0.49336	1.53058	1.44467	1.36981	0.64279	-0.00458	-1.81352	0.52226	-0.77072	0.55742	3.93745	1.42863	-0.51467	-3.34602
43	0.022	0.359	YIL126W	-6.89975	11.1366	-0.48352	0.3671	0.29452	-0.37447	-1.78719	1.35414	-2.09958	-0.05556	-2.11815	-1.66685	-0.6048	0.61691	-1.15714	1.45026	0.69649	1.9057	-1.77313	0.43316	-2.09117	0.93412
44	0.023	0.71	YER068W	-0.84141	2.56963	-0.56302	-0.56961	-2.02974	-2.84802	-2.46371	-1.35312	-0.35444	1.56104	1.29762	1.54638	0.82967	0.08117	-1.42936	0.74707	-0.55331	0.6375	1.54002	1.53749	0.60281	-2.74826
45	0.023	0.727	YCR020C	-3.77004	5.49004	-0.33886	-0.17389	-1.61558	-2.52207	-3.22549	-0.27016	-1.02872	1.7375	0.95959	0.73552	0.13437	0.46953	-1.69806	1.83168	-0.44287	1.77368	1.60038	0.23665	-1.36703	-0.80839
46	0.024	0.36	YJL001W	0.65481	1.48919	0.04664	0.10294	-0.87897	-3.56488	-0.91383	-3.21646	-1.21343	-0.57715	-1.5529	-0.12833	0.32543	-1.83744	-4.0978	-3.56995	-0.16961	-1.39389	2.50577	5.51892	2.30236	-6.60339
47	0.024	0.659	YOR376W	-2.25842	2.47795	1.49227	0.91581	0.1274	-1.19334	-1.29504	-0.45208	-0.94611	0.67762	-0.64561	-0.49798	-1.76775	-1.21601	-3.18308	-1.88636	-0.30923	1.00978	0.39697	2.39838	-3.1597	0.92884
48	0.025	0.672	YKL185W	0.8032	-0.66783	0.09324	-1.0326	-3.37905	-2.57814	-3.14619	-1.17081	1.16627	2.9245	4.95159	3.12326	0.28122	-0.44122	-1.09215	0.78471	-1.54672	0.68782	1.73443	-0.13604	-1.17333	-0.29805
49	0.025	0.643	YBR269C	-2.26537	2.73763	2.06417	1.36923	0.11979	-0.96091	-0.86704	-0.66829	-0.54354	0.18671	-1.01681	-0.83358	-2.25228	-2.42376	-3.89195	-2.83563	-0.95399	-0.10259	0.37313	3.88997	-1.76105	-0.8698
50	0.025	0.479	YOR319W	-8.88796	15.3743	-1.04797	0.02365	-1.05528	-1.09554	-3.31138	1.39517	-1.7039	0.81742	-0.60847	-0.98122	-0.50201	0.44088	-1.3571	2.5232	-0.07422	2.03897	-0.69421	-1.10892	-0.8459	-0.66978
51	0.025	0.305	YIL172C	-8.4714	13.1813	-1.40504	-0.16186	-0.60778	0.28533	-1.74435	2.69846	-1.39557	0.20491	-1.38041	-1.79569	-0.82708	0.25948	-0.70885	3.28916	0.08832	1.86042	-4.29489	-2.20097	2.19547	0.29584
52	0.026	0.48	YPL046C	0.09162	0.27313	-0.34403	-1.09037	-2.66737	-3.52255	-3.10381	-0.95846	0.00879	3.89492	2.73953	3.17317	1.02214	1.40315	-0.79834	2.20919	-0.08729	3.09197	-1.03898	-0.04426	-3.06105	2.94136
53	0.027	0.399	YML010W	1.23903	-0.47505	-0.80143	-1.28716	-2.40211	-2.94554	-2.10766	-1.2427	-0.01885	2.54633	2.04787	2.64701	1.30879	0.89021	-0.5759	1.24101	0.01148	1.63236	-1.55181	1.19017	-0.70114	0.71386
54	0.027	0.811	YJR079W	-1.34906	1.67016	1.62831	0.91963	-0.90311	-1.25489	-1.1954	-0.90631	0.46138	0.79477	0.51719	0.16221	-1.82764	-2.62776	-3.39215	-2.09548	-1.67536	-0.63006	1.12575	2.59405	-0.06024	-1.94806
55	0.028	0.2	YOL117W	-5.50584	8.36423	-1.29113	-0.21078	0.26236	-0.22603	-1.58947	1.50524	-2.20023	-0.12945	-1.49903	-1.22751	0.43395	1.84416	0.27485	2.71237	1.15533	2.13774	-1.29733	-1.16304	-1.21993	1.05296
56	0.029	0.382	YJR152W	-1.16226	3.04505	-1.06991	-0.83008	-1.05194	-2.06242	-1.89482	-0.54855	-1.34165	1.13531	0.14428	1.00538	1.23746	1.51632	-0.27126	1.39288	0.78632	1.74872	-0.94767	1.20555	-1.29764	0.28778
57	0.029	0.399	YOR230W	0.66224	0.28928	1.40198	0.9648	-0.13538	-2.83553	-1.6401	-3.00652	-1.4252	-0.08166	-0.83284	0.53721	0.1384	-0.85258	-3.08038	-3.15466	-0.30705	-0.59692	4.71471	6.79164	-1.78887	-5.03828
58	0.03	0.627	YGR130C	-1.36951	1.57739	-0.29423	-0.67652	-2.76537	-1.98927	-3.04883	-0.07779	1.25507	3.19803	3.73487	2.62053	0.31377	0.23955	-0.14262	2.96601	-1.54626	1.37915	1.15902	-2.48759	-1.03474	1.14175
59	0.03	0.892	YJL194W	-0.59767	0.71156	1.24246	-0.12121	-3.05717	-2.17671	-2.5408	-0.72878	1.63318	2.97539	3.7123	2.30675	-1.20185	-2.06912	-2.59945	-0.11081	-2.27298	0.39777	-0.5027	0.89315	-0.28333	0.183
60	0.03	0.836	YDR389W	-0.32807	0.55061	0.81062	-0.18703	-2.49622	-2.16859	-1.9011	-0.74692	1.12848	2.63095	2.30505	1.97747	-0.99157	-1.83646	-2.64352	-0.20977	-1.70759	0.56647	-1.79021	1.30779	0.20129	0.31418
61	0.031	0.599	YGL158W	-5.40977	5.96972	1.54555	1.00247	-0.27139	-0.5095	-2.07757	1.23955	-0.83467	1.49143	-0.06645	-0.67711	-2.53302	-1.16605	-3.04172	0.11396	-0.73555	2.13493	-1.87844	0.33274	-4.043	3.71002
62	0.031	0.712	YDR121W	-1.01191	1.14822	0.27529	-0.50803	-3.43679	-1.51851	-2.62775	-0.09476	2.45362	3.02314	4.81381	2.55377	-0.74848	-1.71961	-1.15482	1.61224	-2.74462	-0.03488	1.1077	-2.81946	1.63457	-0.63094
63	0.032	0.494	YBR237W	0.8643	-0.43731	0.05111	-1.07757	-2.81253	-3.78939	-2.73765	-1.38857	-0.06242	3.78789	2.31868	3.18172	0.54664	0.4413	-1.98525	0.74943	-0.16132	2.73262	-3.16434	2.08832	-2.86339	3.08069
64	0.032	0.865	YDR530C	-1.55515	3.24652	0.0557	-0.3984	-2.48703	-3.27038	-3.26195	-1.35097	-0.29405	2.43783	2.00778	2.03799	0.24715	-0.27468	-2.256	0.6108	-0.94652	1.25322	0.80706	1.88243	-1.03931	-1.20108
65	0.032	0.705	YKL187C	-1.89483	2.25962	0.11853	-0.41469	-2.3505	-2.19035	-3.29091	-0.27325	0.57876	3.02976	3.29148	2.24182	-0.01754	0.28329	-0.82694	2.08146	-1.18066	1.77922	1.55612	-1.75537	-2.8984	1.88847
66	0.032	0.223	YMR197C	-2.2572	2.47285	1.31919	1.45105	1.46802	0.95472	0.34115	0.20612	-0.5676	-1.4125	-1.6507	-1.85189	-1.39244	-1.16015	-1.24724	-1.67233	-0.34262	-0.85965	2.49791	1.10455	-0.97054	-1.44564
67	0.032	0.364	YMR195W	-5.04914	5.10285	0.98037	1.05309	0.92884	0.65923	-1.66736	1.47223	-1.12031	0.25057	-0.18348	-1.30753	-1.57672	0.40281	-0.71752	0.90916	-0.06017	1.70441	1.90928	-1.78929	-4.88059	3.17705
68	0.034	0.567	YGR289C	0.41607	-1.11501	1.35926	0.23467	-1.22144	-0.99123	-0.63009	-0.43211	0.93625	1.63068	1.23083	1.03972	-1.34708	-1.78231	-2.20158	-1.19683	-1.15204	0.27734	-2.31242	1.77588	-0.86842	1.60504
69	0.034	0.655	YHL030W	1.02062	-1.09915	0.2563	-0.8992	-3.61186	-3.37839	-3.11501	-1.47239	1.58585	4.03577	4.31676	3.77664	0.22807	-0.65763	-1.63976	1.11426	-1.77523	1.2545	-0.05501	-0.08073	-1.14818	1.06126
70	0.034	0.493	YPR193C	-0.15534	1.29764	-0.68048	-0.74715	-1.42874	-2.60605	-2.31615	-1.22148	-0.86315	1.63162	1.17755	1.71303	1.35725	1.38665	-0.39309	1.10626	0.35132	1.53959	1.14354	0.96359	-1.97626	-0.08322
71	0.034	0.321	YNR034W	-4.992	7.39148	0.17315	0.57926	0.58852	-1.1315	-0.99731	0.54474	-3.00153	-0.50766	-3.29293	-1.91729	-0.98876	-0.186	-3.16211	-0.5224	0.99249	1.80193	-3.62448	3.69022	-0.51313	-0.19395
72	0.035	0.328	YIR005W	-1.86667	2.26189	1.38096	1.269	1.0645	0.11316	0.28259	-0.35725	-0.90412	-1.2623	-2.0384	-1.80266	-1.91321	-2.1015	-2.99363	-3.0144	-0.39535	-0.87176	0.49701	2.93773	-0.10799	-1.81091
73	0.035	0.884	YBR296C	-2.16999	2.37066	2.3709	0.37666	-3.1839	-1.06441	-2.39997	0.20686	2.40769	2.75058	5.07354	1.53148	-2.10484	-2.74478	-2.48252	-0.17545	-2.90083	0.03579	0.36127	-1.11251	-0.40318	0.85153
74	0.036	0.672	YDR338C	0.34278	-0.24213	0.35967	-0.57034	-2.45471	-2.32605	-1.94339	-0.79656	0.8478	2.81212	2.43028	2.36225	-0.23975	-0.78663	-1.76728	0.43013	-1.10759	1.14042	-2.08628	0.85154	-0.63195	1.39022
75	0.037	0.666	YBR217W	0.52517	-0.26126	0.07545	-1.19145	-3.90238	-3.257	-3.48022	-1.16128	1.3095	3.95354	4.87125	3.72853	0.23906	-0.45409	-1.52957	1.31281	-1.63172	1.4656	-0.90753	-0.07028	-1.50872	1.6649
76	0.037	0.893	YJL195C	-0.77536	0.64976	1.22709	0.06831	-2.5911	-2.04483	-2.70596	-0.8273	1.37111	2.76919	3.64884	2.23714	-0.96406	-1.56802	-2.15957	0.05116	-2.10805	0.45206	1.32004	-0.04771	-1.69155	0.543
77	0.037	0.601	YFR003C	-7.3744	9.01156	-0.2255	0.33233	-1.74054	-0.61895	-3.37828	1.84977	-0.32116	1.51553	1.51647	-0.0976	-1.17951	-0.62139	-1.48776	3.75199	-1.86019	1.25522	0.22208	-2.68798	0.62838	-0.35146
78	0.038	0.98	YFL044C	-1.54016	1.93666	1.29153	0.57329	-1.37008	-1.46627	-1.89602	-0.72077	0.46881	1.44623	1.56192	0.90211	-1.14005	-1.61201	-2.41523	-0.75187	-1.54979	0.07466	1.22553	1.32223	-1.06258	-0.69833
79	0.038	0.828	YDR217C	-1.66519	1.23608	1.58723	0.49822	-1.69162	-0.92675	-1.53617	0.12993	1.26243	2.25882	2.03055	1.11761	-2.1113	-2.37098	-2.77878	-0.48903	-1.99871	0.50749	-1.87226	0.21663	-1.05461	2.00583
80	0.039	0.291	YJR028W	-1.22006	0.06415	0.8796	-0.1999	-1.32924	0.21343	-0.9152	1.19239	1.59329	2.0796	2.81297	0.81967	-1.39961	-0.81955	-0.39562	0.96659	-1.03278	1.12393	-1.99726	-3.74474	-3.82264	6.22725
81	0.039	0.492	YDR195W	0.04414	0.02521	-0.47973	-0.74557	-2.52026	-1.96541	-2.71234	-0.77143	1.34065	2.60633	3.8436	2.73864	0.98154	0.53149	0.52059	2.43353	-1.39712	0.59621	3.04349	-2.48787	-0.68822	-0.17766
82	0.039	0.788	YDR379W	-0.34822	0.68497	0.29893	-0.4912	-2.91715	-2.67408	-3.15743	-1.1686	1.04566	2.99185	3.86377	2.82907	0.11594	-0.52625	-1.38529	1.02162	-1.70071	0.8	1.84927	-0.54696	-1.28563	-0.04104
83	0.039	0.666	YML091C	-3.90644	3.76683	2.26459	1.59281	0.28207	-0.08916	-1.10073	0.38824	-0.38145	0.46623	-0.52819	-1.10747	-3.19186	-2.68812	-3.97537	-2.17645	-1.38293	0.34861	-0.43089	1.61593	-2.41641	1.26688
84	0.041	0.593	YGR186W	-1.85686	2.86463	-0.89091	-0.96182	-3.03483	-2.04514	-3.04239	0.05174	0.96552	2.8999	3.54038	2.52966	0.72563	0.35999	-0.02602	3.4142	-1.44995	1.22332	0.11978	-2.59704	0.72359	0.14726
85	0.041	0.691	YDR285W	0.59005	-0.39393	0.24677	-1.17232	-4.10528	-2.9687	-3.48449	-1.11975	1.5565	3.70801	5.55565	3.67176	0.04185	-0.83992	-1.57286	1.02085	-1.97657	0.96272	-0.59128	-0.14986	-0.5319	0.80411
86	0.041	0.208	YNR029C	-3.86213	5.89294	-1.70585	-0.69413	-0.92777	-0.82532	-1.7751	1.08889	-1.37107	0.35794	-0.07544	-0.07889	1.32703	1.79135	0.79282	3.80472	0.43648	1.46255	-0.83645	-1.42187	1.4979	-0.95517
87	0.042	0.722	YMR282C	-1.26132	1.17799	2.12356	1.14466	-0.70595	-1.65094	-1.06925	-1.29959	0.15149	1.04963	-0.02163	0.11373	-2.79911	-3.61774	-5.19949	-3.68522	-1.77473	-0.39661	-0.49658	3.22594	-0.77176	-0.63307
88	0.042	0.624	YDL106C	-0.98369	1.90155	-0.64354	-0.847	-2.30245	-2.06951	-2.57826	-0.40684	0.32214	2.35577	2.67561	2.14412	0.74247	0.60003	-0.26294	2.10446	-0.71751	1.32097	0.19415	-1.26311	-0.64977	0.59345
89	0.044	0.584	YCR017C	0.10157	0.92204	-0.75986	-1.06746	-2.61147	-3.01434	-3.09794	-1.34473	0.02284	2.60637	3.03229	2.84416	1.38341	1.00031	-0.39075	1.73952	-0.53279	1.39694	1.32262	-0.18444	-1.33373	-0.12823
90	0.044	0.418	YNR070W	0.34819	0.26268	-0.92461	-1.25344	-2.40375	-2.52492	-2.64114	-0.82734	0.15334	2.66779	2.9416	2.74459	1.39078	1.34938	0.21149	2.17609	-0.20545	1.75982	0.06835	-1.02985	-1.77463	1.53086
91	0.045	0.754	YHL042W	-0.33891	0.35878	0.3951	-0.43177	-2.70232	-2.21066	-2.84626	-0.86191	1.16788	2.86797	3.85452	2.65999	-0.04979	-0.54525	-1.14384	1.04989	-1.67648	0.77849	1.36813	-1.09568	-1.4613	0.7466
92	0.045	0.732	YDR148C	-0.74454	1.73413	1.29225	0.66236	-1.03965	-2.4388	-1.99013	-1.84677	-0.6429	0.971	0.36898	0.94375	-0.45389	-1.21265	-3.00501	-1.75987	-0.92924	0.04255	1.46237	4.4731	-1.13805	-2.4431
93	0.046	0.446	YDL035C	-8.44033	14.1426	-1.24665	0.02975	-0.84367	-1.32344	-3.39092	1.08555	-2.31631	0.54539	-0.84155	-0.79075	0.12687	1.04353	-1.10366	2.82059	0.15312	2.0672	-0.68822	-0.83961	-0.32747	-1.05776
94	0.047	0.129	YDR381W	1.02768	-0.24891	-1.60082	-1.36691	-1.74291	-1.69369	-1.64952	-0.74399	0.04453	1.38909	2.15343	2.04129	1.8242	1.52859	1.08791	2.01087	0.12605	0.79553	0.95967	-1.4091	0.57919	-0.71665
95	0.047	0.784	YJR059W	-3.3428	4.55159	0.51829	0.11828	-1.54127	-1.91702	-2.6239	-0.03488	-0.56063	2.03987	1.08861	0.94807	-0.73484	-0.43137	-2.25978	0.84802	-0.79982	1.72678	-1.4464	0.65148	-1.92111	1.5259
96	0.047	0.624	YGR181W	-3.89118	4.39556	1.49639	1.5165	0.38999	0.08104	-1.19623	-0.01838	-0.37739	-0.58027	-0.39553	-1.32647	-2.0618	-2.11703	-2.69063	-1.5016	-1.49323	-0.89442	3.0564	0.73009	-0.60156	-2.0863
97	0.048	0.652	YDR098C	-0.80745	1.34304	-0.40886	-0.71446	-2.78654	-1.86199	-2.3532	-0.29834	1.23205	2.61296	3.18267	2.43761	0.35606	-0.39179	-0.54362	2.22686	-1.63671	0.60214	-0.40865	-1.58384	1.201	-0.15123
98	0.048	0.76	YLR270W	-2.01465	3.02612	1.55395	1.02586	-0.62582	-1.61663	-1.50979	-1.12099	-0.53285	0.54872	-0.21951	0.07491	-1.28951	-1.90094	-3.38196	-1.9351	-1.17121	-0.18921	0.49943	3.74269	-0.44047	-2.06094
99	0.048	0.151	YDL131W	0.56834	0.73272	-1.72178	-1.29939	-1.55851	-1.66617	-1.57605	-0.73034	-0.29581	1.05175	1.56659	1.70932	1.80456	1.48048	0.88628	1.85243	0.24926	0.71001	0.64805	-0.81215	1.29341	-1.51905
