Alpha&Cls				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YBL030C	PET9	transport	mitochondrial ADP/ATP translocator	G2/M
YBL031W	SHE1	unknown	overexpression is lethal	
YBL032W	YBL032W	unknown	unknown	
YBL033C	RIB1	flavin biosynthesis	GTP cyclohydrolase II	
YBL034C	STU1	mitosis	spindle component	
YBL035C	POL12	DNA replication	"DNA polymerase alpha, 70 kD subunit"	G1
YBL036C	YBL036C	unknown	unknown; similar to Pseudomonas aeroginosa twitching motility protein	
YBL037W	APL3	secretion	clathrin associated	
YBL038W	MRPL16	protein synthesis	"ribosomal protein, mitochondrial L16"	
YBL047C	YBL047C	unknown	"unknown; similar to Uso1p, Pan1p, and mouse eps15"	
YBL051C	YBL051C	unknown	"unknown; similar to RNA-binding proteins, contains 1 RRM domain"	
YBL052C	SAS3	silencing	unknown	S/G2
YBL053W	YBL053W	unknown	unknown	
YBL054W	YBL054W	unknown	unknown	
YBL055C	YBL055C	unknown	unknown	
YBL056W	PTC3	osmotic stress response (putative)	protein phosphatase	
YBL057C	YBL057C	unknown	unknown	
YBL058W	SHP1	glucose repression	(putative) Glc7p regulatory subunit	
YBL059W	YBL059W	unknown	unknown	
YBL060W	YBL060W	unknown	unknown	
YBL061C	SKT5	cell wall biogenesis	chitin synthase regulator	M/G1
YBL062W	YBL062W	unknown	unknown	
YBL063W	KIP1	"mitosis, spindle assembly"	kinesin related protein	S
YBL066C	SEF1	transcription	(putative) transcription factor	
YBL075C	SSA3	ER and mitochondrial translocation	cytosolic HSP70	
YBL076C	ILS1	protein synthesis	"tRNA synthetase, isoleucyl"	
YBL077W	YBL077W	unknown	unknown	
YBL078C	AUT7	autophagy	microtubule-associated protein (putative)	
YBL079W	NUP170	nuclear protein targeting	nuclear pore protein	
YBL080C	PET112	protein synthesis	translation of COX2 mRNA (mitochondrial)	
YBL081W	YBL081W	unknown	37% identity to Drosophila l not protein	
YBL082C	RHK1	protein glycosylation	"Dol-P-Man dependent alpha-1,3- mannosyltransferase (putative)"	
YBL083C	YBL083C	unknown	unknown	
YBL084C	CDC27	cell cycle	anaphase-promoting complex subunit	
YBL085W	BOI1	bud growth	binds Bem1p	
YBL086C	YBL086C	unknown	unknown	
YBL088C	TEL1	telomere length regulation	putative phosphatidylinositol kinase	
YBL097W	BRN1	chromosome maintenance	unknown; homolog of human BRRN1	
YBL099W	ATP1	ATP synthesis	mitochondrial F1F0-ATPase subunit	
YBL100C	YBL100C	unknown	unknown	G2/M
YBL101C	ECM21	cell wall biogenesis	unknown	
YBL101W-A	YBL101W-A	unknown	unknown	
YBL101W-B	YBL101W-B	unknown	unknown	
YBL102W	SFT2	unknown	suppresses sed5 ts mutants	
YBL103C	RTG3	glyoxylate cycle	CIT2 regulator	
YBL104C	YBL104C	unknown	morphology (putative)	
YBL105C	PKC1	cell wall biogenesis	protein kinase C	
YBL106C	SRO77	secretion (putative)	unknown; homolog of Drosophila tumor suppressor l(2)gl	
YBL107C	YBL107C	unknown	unknown	
YBL108W	YBL108W	unknown	unknown	
YBR008C	FLR1	fluconazole resistance	"transporter, major facilitator superfamily"	S
YBR009C	HHF1	chromatin structure	histone H4	S
YBR011C	IPP1	phosphate metabolism	"inorganic pyrophosphatase, cytoplasmic"	
YBR012W-A	YBR012W-A	unknown	unknown	
YBR013C	YBR013C	unknown	unknown	
YBR014C	YBR014C	unknown	unknown; similar to glutaredoxin	
YBR015C	MNN2	protein glycosylation	"Golgi alpha-1,2-mannosyltransferase (putative)"	
YBR016W	YBR016W	unknown	unknown	
YBR017C	KAP104	nuclear protein targeting	beta-karyopherin	
YBR030W	YBR030W	unknown	unknown; similar to Sin3p	
YBR031W	RPL4A	protein synthesis	ribosomal protein L4A	
YBR032W	YBR032W	unknown	unknown	
YBR033W	YBR033W	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6] cluster domain"	
YBR034C	HMT1	protein processing	arginine methyltransferase	
YBR035C	PDX3	sterol uptake (putative)	pyridoxine (pyridoxamine) phosphate oxidase	
YBR036C	CSG2	sphingolipid metabolism	mannosylation	
YBR037C	SCO1	respiration	Cox1p and Cox2p stability (putative)	
YBR038W	CHS2	cell wall biogenesis	chitin synthase II	G2/M
YBR039W	ATP3	ATP synthesis	mitochondrial F1F0 ATP synthase subunit	
YBR040W	FIG1	mating	extracellular integral membrane protein	
YBR041W	FAT1	transport	long-chain fatty acid transporter	
YBR048W	RPS11B	protein synthesis	ribosomal protein S11B	
YBR054W	YRO2	unknown	putative heat shock protein	G2/M
YBR055C	PRP6	mRNA splicing	U4/U6 snRNP protein	
YBR056W	YBR056W	unknown	"unknown; similar to glucan-1,3-beta-glucosidase"	
YBR057C	MUM2	meiosis	unknown; similar to ubiquitin C-terminal hydrolase	
YBR058C	UBP14	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YBR059C	AKL1	unknown	protein kinase	
YBR060C	ORC2	DNA replication	"origin recognition complex, 72 kD subunit"	
YBR061C	YBR061C	unknown	unknown; similar to Ctr86p and E. coli ftsJ	
YBR062C	YBR062C	unknown	unknown	
YBR063C	YBR063C	unknown	unknown; similar to phosphopanthethein-binding proteins	
YBR064W	YBR064W	unknown	unknown	
YBR065C	ECM2	cell wall biogenesis and mRNA splicing (putative)	unknown	
YBR066C	NRG2	unknown	unknown	
YBR067C	TIP1	stress response (putative)	cell wall mannoprotein	M/G1
YBR068C	BAP2	transport	branched-chain amino acid permease	
YBR069C	VAP1	transport	amino acid permease	G2/M
YBR070C	YBR070C	stress response	osmotolerance protein (putative)	G1
YBR071W	YBR071W	unknown	unknown; similar to Herpesvirus saimiri EERF2	G1
YBR072W	HSP26	diauxic shift	stress-induced protein	
YBR074W	YBR074W	unknown	unknown; similar to Ape3p (aminopeptidase Y)	
YBR075W	YBR075W	unknown	unknown	
YBR076W	ECM8	cell wall biogenesis	unknown	
YBR078W	ECM33	cell wall biogenesis	unknown	
YBR079C	RPG1	protein synthesis	translation initiation factor eIF3	
YBR080C	SEC18	secretion	NSF; vesicle fusion	
YBR081C	SPT7	chromatin structure	histone acetyltransferase complex subunit	
YBR082C	UBC4	"protein degradation, ubiquitin-mediated"	E2 ub.-conjugating enzyme	
YBR083W	TEC1	pseudohyphal growth	trancriptional activator	M/G1
YBR084C-A	RPL19A	protein synthesis	ribosomal protein L19A	
YBR084W	MIS1	folate metabolism	C1-tetrahydrofolate synthase	
YBR085W	AAC3	transport	mitochondrial ADP/ATP translocator	
YBR086C	IST2	salt tolerance (putative)	unknown; similar to calcium and sodium channel proteins	G2/M
YBR087W	RFC5	DNA replication	DNA polymerase processivity factor	G1
YBR088C	POL30	DNA replication	DNA polymerase processivity factor	G1
YBR090C	YBR090C	unknown	unknown	
YBR091C	MRS5	mitochondrial protein targeting	inner membrane carrier protein	
YBR092C	PHO3	thiamine uptake	"acid phosphatase, constitutive"	G2/M
YBR093C	PHO5	phosphate metabolism	"acid phosphatase, repressible"	G2/M
YBR094W	YBR094W	unknown	unknown; similar to Mec1p and porcine tubulin-tyrosine	G2/M
YBR095C	YBR095C	unknown	unknown; similar to Drosophila cyclin B	
YBR096W	YBR096W	unknown	unknown	
YBR097W	VPS15	vacuolar protein targeting	ser/thr protein kinase	
YBR098W	MMS4	methylmethanesulfonate resistance	transcription activator (putative)	
YBR099C	YBR099C	unknown	unknown	
YBR100W	YBR100W	unknown	unknown	
YBR101C	YBR101C	unknown	unknown; similar to Ypt/Rab interacting protein	
YBR102C	EXO84	secretion	exocyst complex subunit	
YBR103W	YBR103W	unknown	unknown	
YBR104W	YMC2	transport	mitochondrial carrier family	
YBR105C	VID24	vacuolar protein targeting 	peripheral vesicle membrane protein	
YBR107C	MCM19	"mitosis, chromosome segregation (putative)"	unknown	
YBR108W	YBR108W	unknown	"unknown; similar to wheat glutenin, secalin"	G1
YBR109C	CMD1	signaling	calmodulin	
YBR110W	ALG1	protein glycosylation	"beta-1,4-mannosyltransferase"	
YBR111C	YSA1	unknown	unknown; similar to Drosophila serendipity protein	
YBR112C	CYC8	transcription	general repressor	
YBR113W	YBR113W	unknown	unknown	
YBR114W	RAD16	"DNA repair, nucleotide excision"	NEF4 component	
YBR116C	YBR116C	unknown	unknown; similar to sea urchin NADH chain ND2	
YBR118W	TEF2	protein synthesis	translation elongation factor EF-1 alpha	
YBR120C	CBP6	"protein synthesis, COB"	translation activator of COB mRNA	
YBR122C	MRPL36	protein synthesis	"ribosomal protein, mitochondrial L36"	
YBR123C	TFC1	transcription	TFIIIC 95 kD subunit	
YBR124W	YBR124W	unknown	unknown	
YBR125C	PTC4	unknown	protein phosphatase type 2C	
YBR126C	TPS1	trehalose metabolism	trehalose-6-phosphate synthas	
YBR127C	VMA2	vacuolar acidification	58 kD regulatory subunit	
YBR128C	APG14	autophagy	unknown; interacts with Apg6p/Vps30p	
YBR129C	OPY1	mating	unknown	
YBR130C	SHE3	cell polarity	asymmetric HO expression	
YBR131W	CCZ1	"calcium, caffeine, and zinc sensitivity"	unknown	
YBR132C	AGP2	transport	general amino acid permease	
YBR133C	HSL7	cell cycle	Swe1p (kinase) regulator	S/G2
YBR134W	YBR134W	unknown	unknown	
YBR135W	CKS1	cell cycle	portein kinase regulator	
YBR136W	ESR1	DNA repair and recombination	PI kinase homolog	
YBR138C	HDR1	meiosis	unknown	G2/M
YBR140C	IRA1	"signaling, Ras pathway"	GTPase-activating protein for Ras1p and Ras2p	
YBR142W	MAK5	mRNA splicing	RNA helicase	
YBR144C	YBR144C	unknown	unknown	
YBR146W	MRPS9	protein synthesis	"ribosomal protein, mitochondrial S9"	
YBR148W	YSW1	unknown	spore specific	
YBR149W	ARA1	arabinose metabolism	arabinose dehydrogenase	
YBR150C	TBS1	drug resistance (putative)	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YBR152W	SPP381	mRNA processing (putative)	"U4/U6,U5 snRNP protein"	
YBR153W	RIB7	flavin biosynthesis	HTP reductase	
YBR154C	RPB5	transcription	"shared subunit of RNA polymerases I, II, and III "	
YBR155W	CNS1	unknown	unknown; similar to Sti1p; suppresses cyclophilin mutant	
YBR156C	SLI15	"mitosis, chromosome segregation"	unknown	
YBR157C	ICS2	Cu2+ ion homeostasis (putative)	unknown	M/G1
YBR158W	ICS4	Cu2+ ion homeostasis (putative)	unknown; required for optimal growth	M/G1
YBR159W	YBR159W	unknown	unknown; similar to human estradiol	
YBR160W	CDC28	cell cycle	cyclin dependent protein kinase	
YBR161W	YBR161W	unknown	"unknown; similar to Sur1p, Hoc1p, and Och1p"	G1
YBR162C	YBR162C	unknown	unknown; similar to Aga1p	
YBR162W-A	YSY6	secretion (putative)	unknown	
YBR163W	DEM1	cell morphology (putative)	unknown; similar to Pta1p	
YBR164C	ARL1	secretion	ADP-ribosylation factor-like protein	
YBR165W	UBS1	"protein degradation, ubiquitin-mediated"	regulates Cdc34p (ubiquitin-conjugating enzyme)	
YBR166C	TYR1	tyrosine biosynthesis	prephenate dehydrogenase (NADP+
YBR167C	POP7	rRNA and tRNA processing	RNase P and RNase MRP subunit
YBR168W	YBR168W	unknown	unknown
YBR169C	SSE2	heat shock response	HSP70 family
YBR170C	NPL4	nuclear protein targeting	nuclear pore protein
YBR171W	SEC66	secretion	ER protein translocation subcomplex subunit
YBR172C	SMY2	unknown	kinesin related
YBR173C	UMP1	"protein degradation, ubiquitin-mediated"	20S proteasome maturation factor
YBR174C	YBR174C	unknown	unknown
YBR175W	YBR175W	unknown	unknown
YBR176W	ECM31	cell wall biogenesis	unknown
YBR177C	EHT1	unknown	alcohol acyl transferase (putative)
YBR178W	YBR178W	unknown	unknown
YBR179C	FZO1	mitochondrial biogenesis	mitochondrial membrane GTPase
YBR180W	YBR180W	unknown	major facilitator superfamily
YBR181C	RPS6B	protein synthesis	ribosomal protein S6B
YBR182C	SMP1	cell wall organization	MADS box transcription factor
YBR183W	YPC1	sphingolipid metabolism	alkaline ceramidase
YBR184W	YBR184W	unknown	unknown
YBR185C	MBA1	respiration	mitochondrial respiratory complex assembly
YBR186W	PCH2	"meiosis, checkpoint"	unknown
YBR187W	YBR187W	unknown	unknown; similar to ND5 and PSB2 (SP:P03920 and SP:P20898)
YBR188C	NTC20	mRNA splicing	Prp19p-associated complex protein 
YBR189W	RPS9B	protein synthesis	ribosomal protein S9B
YBR191W	RPL21A	protein synthesis	ribosomal protein L21A
YBR193C	MED8	transcription	RNA polymerase II mediator subunit
YBR194W	YBR194W	unknown	unknown
YBR195C	MSI1	chromatin structure	chromatin assembly factor I subunit
YBR196C	PGI1	glycolysis	glucose-6-phosphate isomerase
YBR197C	YBR197C	unknown	unknown
YBR198C	TAF90	transcription	TFIID 90 kD subunit
YBR199W	KTR4	protein glycosylation	"putative alpha-1,2-mannosyltransferase"
YBR200W	BEM1	bud emergence	binds Cdc24p	G2/M
YBR201W	DER1	"protein degradation, ER"	unknown	
YBR202W	CDC47	DNA replication	MCM initiator complex	G2/M
YBR204C	YBR204C	unknown	unknown; similar to peroxisomal serine-active lipase	M/G1
YBR206W	YBR206W	unknown	unknown	
YBR207W	FTH1	unknown	unknown; similar to Ftr1p	
YBR208C	"DUR1,2"	"nitrogen, amino acid, nucleotide metabolism"	urea amidolyase	
YBR209W	YBR209W	unknown	unknown	
YBR210W	YBR210W	unknown	unknown	
YBR211C	AME1	unknown	microtubule associated	
YBR212W	NGR1	unknown	glucose-repressible RNA-binding protein	
YBR213W	MET8	sulfate assimilation	siroheme synthase	
YBR214W	SDS24	unknown	unknown; nuclear protein; similar to S. pombe sds23	
YBR215W	HPC2	transcription	regulator of histone transcription	
YBR216C	YBR216C	unknown	unknown	
YBR217W	APG12	autophagy	unknown	
YBR218C	PYC2	TCA cycle	pyruvate carboxylase 2
YBR219C	YBR219C	unknown	unknown
YBR220C	YBR220C	unknown	unknown; similar to E. coli ampG protein
YBR221C	PDB1	glycolysis	pyruvate dehydrogenase
YBR222C	FAT2	transport	peroxisomal (putative) fatty acid transporter
YBR223C	YBR223C	unknown	unknown
YBR224W	YBR224W	unknown	unknown
YBR225W	YBR225W	unknown	unknown
YBR226C	YBR226C	unknown	unknown
YBR228W	YBR228W	unknown	unknown
YBR229C	ROT2	cytoskeleton	glucosidase II
YBR230C	YBR230C	unknown	unknown
YBR231C	YBR231C	unknown	unknown
YBR232C	YBR232C	unknown	unknown
YBR233W	PBP2	unknown	interacts with Pab1p
YBR234C	ARC40	cytoskeleton	Arp2/3 complex subunit
YBR235W	YBR235W	unknown	unknown; similar to human SLC12A1 gene for which mutations	
YBR236C	ABD1	mRNA capping	mRNA cap methyltransferase	
YBR237W	PRP5	mRNA splicing	RNA helicase	
YBR238C	YBR238C	unknown	unknown	
YBR239C	YBR239C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YBR240C	THI2	thiamine biosynthesis	transcription factor	
YBR241C	YBR241C	unknown	unknown; similar to sugar permeases	
YBR242W	YBR242W	unknown	unknown	G2/M
YBR243C	ALG7	protein glycosylation	UDP-N-acetyl-glucosamine-1-P transferase (GPT)	S/G2
YBR244W	AMI1	mitochondrial morphology (putative)	unknown; similar to glutathione peroxidase	
YBR245C	ISW1	unknown	unknown; similar to Drosophila nucleosome remodeling	
YBR246W	YBR246W	unknown	unknown	
YBR247C	ENP1	protein glycosylation	putative oligosaccharyltransferase complex subunit	
YBR248C	HIS7	histidine biosynthesis	glutamine amidotransferase:cyclase	
YBR249C	ARO4	aromatic amino acid biosynthesis	2-dehydro-3-deoxyphosphoheptonate aldolase	
YBR250W	YBR250W	unknown	unknown	
YBR251W	MRPS5	protein synthesis	"ribosomal protein, mitochondrial S5"	
YBR252W	DUT1	pyrimidine metabolism	dUTP pyrophosphatase	
YBR253W	SRB6	transcription	RNA polymerase mediator subunit	
YBR254C	TRS20	secretion (putative)	"transport protein particle (TRAPP) subunit, 20 kD"	
YBR255W	YBR255W	unknown	unknown	
YBR256C	RIB5	flavin biosynthesis	"riboflavin synthase, alpha chain"	S/G2
YBR257W	POP4	rRNA and tRNA processing	RNase P and RNase MRP subunit	
YBR259W	YBR259W	unknown	unknown; similar to serine-type carboxypeptidase Prc1p	
YBR262C	YBR262C	unknown	unknown	
YBR263W	SHM1	one-carbon interconversion	serine hydroxymethyltransferase	
YBR264C	YPT10	unknown	unknown; similar to rab proteins and other small GTP-binding	
YBR265W	TSC10	sphingolipid biosynthesis	3-ketosphinganine reductase	
YBR266C	YBR266C	unknown	unknown	
YBR267W	YBR267W	unknown	unknown	
YBR268W	MRPL37	protein synthesis	"ribosomal protein, mitochondrial L37"	
YBR269C	YBR269C	unknown	unknown	
YBR270C	YBR270C	unknown	unknown	
YBR271W	YBR271W	unknown	unknown; similar to Clostridium botulinum C1 toxin	
YBR272C	HSM3	mismatch repair	unknown; MutS homolog	
YBR273C	YBR273C	unknown	unknown	M/G1
YBR274W	CHK1	cell cycle	DNA damage checkpoint protein kinase	
YBR275C	RIF1	silencing	RAP1-interacting protein	
YBR276C	PPS1	unknown	protein phosphatase	
YBR277C	YBR277C	unknown	unknown	
YBR278W	DPB3	DNA replication	polymerase epsilon C subunit	
YBR279W	PAF1	transcription	RNA polymerase II-associated protein	
YBR280C	YBR280C	unknown	unknown; similar to Srm1p/Prp20p	
YBR281C	YBR281C	unknown	unknown	
YBR282W	MRPL27	protein synthesis	"ribosomal protein, mitochondrial L27"	
YBR283C	SSH1	secretion	ER protein translocation complex subunit	
YBR284W	YBR284W	unknown	unknown; similar to AMP deaminase	
YBR285W	YBR285W	unknown	unknown	
YBR286W	APE3	protein degradation	vacuolar aminopeptidase Y	
YBR287W	YBR287W	unknown	unknown	G2/M
YBR288C	APM3	vacuolar protein targeting	AP-3 complex subunit	
YBR291C	CTP1	transport 	mitochondrial citrate transporter	
YBR292C	YBR292C	unknown	unknown	
YBR293W	YBR293W	unknown	major facilitator superfamily	
YBR294W	SUL1	transport	sulfate permease	
YBR295W	PCA1	transport	Cu(2+) ATPase	
YBR296C	PHO89	phosphate metabolism	Na+/Pi symporter	M/G1
YBR297W	MAL33	maltose metabolism	regulator of maltose metabolic genes	
YBR298C	MAL31	transport	maltose permease	
YBR299W	MAL32	maltose metabolism	alpha-glucosidase	
YBR301W	YBR301W	unknown	unknown; similar to Ykl224p and other members of the PAU1	
YCL001W	RER1	secretion; protein targeting	ER protein retention (Golgi membrane protein)	
YCL002C	YCL002C	unknown	unknown	
YCL004W	PGS1	phospholipid metabolism	phosphatidylglycerophosphate synthase	
YCL005W	YCL005W	unknown	unknown	
YCL006C	YCL006C	unknown	unknown	
YCL007C	CWH36	cell wall biogenesis	unknown	
YCL009C	ILV6	isoleucine and valine biosynthesis	acetolactate synthase	
YCL010C	YCL010C	unknown	unknown	
YCL011C	GBP2	unknown	telomere-associated protein (putative)	
YCL012W	YCL012W	unknown	unknown	G2/M
YCL016C	YCL016C	unknown	unknown	
YCL018W	LEU2	leucine biosynthesis	beta-isopropyl-malate dehydrogenase	
YCL020W	YCL020W	unknown	unknown	
YCL022C	YCL022C	unknown	unknown	G1
YCL023C	YCL023C	unknown	unknown	G1
YCL024W	YCL024W	unknown	protein kinase	G1
YCL025C	AGP1	transport	amino acid permease	S/G2
YCL027W	FUS1	mating; cell fusion	SH3 domain protein	M/G1
YCL028W	RNQ1	unknown	"unknown; ""transferable epigenetic modifier"""	
YCL029C	BIK1	mating; mitosis	microtubule-associated protein	
YCL030C	HIS4	histidine biosynthesis	histidinol dehydrogenase	
YCL031C	RRP7	rRNA processing	unknown	
YCL032W	STE50	signaling 	pheromone response	
YCL033C	YCL033C	unknown	unknown; similar to Neisseria pilin	
YCL034W	YCL034W	unknown	unknown	
YCL035C	GRX1	oxidative stress response	glutaredoxin	
YCL036W	YCL036W	unknown	unknown	
YCL037C	SRO9	cytoskeleton	actin filament organization	
YCL038C	YCL038C	unknown	unknown	G2/M
YCL039W	YCL039W	unknown	unknown	
YCL040W	GLK1	glycolysis	glucokinase	M/G1
YCL041C	YCL041C	unknown	unknown; similar to human papilloma virus (HPV) E6 protein	
YCL042W	YCL042W	unknown	unknown	G1
YCL043C	PDI1	protein folding	protein disulfide isomerase	G2/M
YCL044C	YCL044C	unknown	unknown	
YCL045C	YCL045C	unknown	unknown	
YCL046W	YCL046W	unknown	unknown	
YCL047C	YCL047C	unknown	unknown	
YCL048W	YCL048W	unknown	unknown; similar to Ecm33p and Sps2p	
YCL049C	YCL049C	unknown	unknown	
YCL050C	APA1	purine metabolism	ATP adenylyltransferase I	
YCL051W	LRE1	laminarase resistance	unknown	
YCL056C	YCL056C	unknown	unknown	
YCL057W	PRD1	protein degradation	proteinase yscD	
YCL058C	YCL058C	unknown	unknown	
YCL059C	KRR1	unknown	essential	
YCL061C	YCL061C	unknown	unknown	G1
YCL063W	YCL063W	unknown	unknown; similar to plant aminocyclopropane-1-carboxylate	S/G2
YCL064C	CHA1	hydroxy amino acid metabolism	L-serine/L-threonine deaminase	
YCL065W	YCL065W	unknown	unknown	G2/M
YCL067C	HMLALPHA2	transcription	silenced copy at HML; see YCR039C	
YCL069W	YCL069W	unknown	 major facilitator superfamily	
YCL074W	YCL074W	unknown	unknown	
YCR002C	CDC10	cytokinesis	septin	S/G2
YCR004C	YCP4	unknown	unknown; similar to S. pombe brefeldin A resistance protein	
YCR005C	CIT2	glyoxylate cycle	peroxisomal citrate synthase	
YCR006C	YCR006C	unknown	unknown	
YCR007C	YCR007C	unknown	unknown; similar to subtelomerically-encoded proteins	
YCR008W	SAT4	salt tolerance	protein kinase	
YCR009C	RVS161	cytoskeleton	actin-binding protein	
YCR011C	ADP1	transport	(putative) ATP-dependent permease	
YCR012W	PGK1	glycolysis	phosphoglycerate kinase	
YCR013C	YCR013C	unknown	unknown	
YCR014C	POL4	DNA repair	DNA polymerase IV 	
YCR016W	YCR016W	unknown	unknown	
YCR017C	YCR017C	unknown	unknown	
YCR018C	SRD1	rRNA processing	nucleolar protein 	M/G1
YCR019W	MAK32	dsRNA virus propagation	unknown	
YCR020C	PET18	mitochondrial DNA maintenance	unknown	
YCR020C-A	MAK31	dsRNA virus propagation	unknown	
YCR021C	HSP30	diauxic shift	plasma membrane heat shock protein	
YCR022C	YCR022C	unknown	unknown	
YCR023C	YCR023C	unknown	major facilitator superfamily	
YCR024C	YCR024C	protein synthesis	"tRNA synthetase, mitochondrial, asparaginyl"	
YCR024C-A	PMP1	H+ homeostasis	regulates plasma membrane H+-ATPase	G2/M
YCR025C	YCR025C	unknown	unknown	
YCR026C	YCR026C	unknown	unknown; similar to human plasma membrane glycoprotein PCI	
YCR027C	RSG1	unknown	"GTP-binding protein, ras family"	
YCR028C	FEN2	unknown	unknown; similar to Dal5p and members of the allantoate	
YCR030C	YCR030C	unknown	unknown	
YCR031C	RPS14A	protein synthesis	ribosomal protein S14A	
YCR032W	BPH1	transport	acetic acid export pump (putative)	
YCR033W	YCR033W	unknown	unknown	
YCR034W	FEN1	cell wall biogenesis	"beta-1,3-glucan synthase subunit"	
YCR035C	RRP43	rRNA processing	exoribonuclease	
YCR036W	RBK1	ribose metabolism	ribokinase	
YCR037C	PHO87	transport	inorganic phosphate permease	
YCR040W	MATALPHA1	transcription	alpha-specific gene activator	G2/M
YCR042C	TSM1	transcription	TFIID associated factor (TAF)	G2/M
YCR044C	YCR044C	unknown	unknown	
YCR045C	YCR045C	unknown	unknown; similar to protease B (Prb1p) and subtilisin family	
YCR046C	IMG1	protein synthesis	"ribosomal protein, mitochondrial"	
YCR047C	YCR047C	unknown	unknown; similar to rat methylglycine transferase	
YCR048W	ARE1	sterol metabolism	acyl-CoA sterol acyltransferase	
YCR050C	YCR050C	mitochondrial function (putative)	unknown	
YCR051W	YCR051W	unknown	unknown; similar to ankyrin and coiled-coil protein	
YCR053W	THR4	threonine biosynthesis	threonine synthase	
